time,temperature_2m_max,temperature_2m_min,rain,crop_type,days_since_sowing,growth_stage,stress_level
2021-08-21,33.5,24.8,13.5,Rice,81,Maturity,Low
2021-08-22,33.0,23.9,16.2,Rice,82,Maturity,Low
2021-08-23,31.6,23.1,4.1,Rice,83,Maturity,Low
2021-08-24,33.8,24.2,3.5,Rice,84,Maturity,Medium
2021-08-25,34.3,24.2,12.1,Rice,85,Maturity,Low
2021-08-26,33.7,24.1,7.0,Rice,86,Maturity,Low
2021-08-27,33.2,24.1,11.3,Rice,87,Maturity,Low
2021-08-28,29.6,23.6,15.8,Rice,88,Maturity,Low
2021-08-29,29.5,23.6,6.6,Rice,89,Maturity,Low
2021-08-30,32.2,25.0,0.4,Rice,90,Maturity,Low
2021-08-31,31.8,24.4,0.0,Rice,91,Maturity,Low
2021-09-01,31.8,24.4,1.5,Rice,91,Maturity,Low
2021-09-02,30.6,24.3,23.6,Rice,92,Maturity,Low
2021-09-03,30.3,23.3,22.1,Rice,93,Maturity,Low
2021-09-04,30.1,23.8,4.3,Rice,94,Maturity,Low
2021-09-05,31.8,23.8,6.8,Rice,95,Maturity,Low
2021-09-06,31.4,24.0,0.6,Rice,96,Maturity,Low
2021-09-07,31.9,25.2,0.0,Rice,97,Maturity,Low
2021-09-08,33.2,24.9,0.0,Rice,98,Maturity,Medium
2021-09-09,34.1,24.7,0.0,Rice,99,Maturity,Medium
2021-09-10,33.8,25.7,0.1,Rice,100,Maturity,Medium
2021-09-11,34.0,25.9,0.1,Rice,101,Maturity,Medium
2021-09-12,33.4,26.0,1.1,Rice,102,Maturity,Medium
2021-09-13,33.9,25.9,0.1,Rice,103,Maturity,Medium
2021-09-14,35.2,25.9,0.0,Rice,104,Maturity,High
2021-09-15,34.8,25.8,1.3,Rice,105,Maturity,Medium
2021-09-16,34.8,25.3,0.4,Rice,106,Maturity,Medium
2021-09-17,34.6,26.1,0.1,Rice,107,Maturity,Medium
2021-09-18,34.6,24.8,0.2,Rice,108,Maturity,Medium
2021-09-19,35.2,25.4,3.7,Rice,109,Maturity,Medium
2021-09-20,33.9,24.2,2.8,Rice,110,Maturity,Medium
2021-09-21,34.2,24.3,3.0,Rice,111,Maturity,Medium
2021-09-22,34.0,24.5,1.7,Rice,112,Maturity,Medium
2021-09-23,33.0,24.1,3.4,Rice,113,Maturity,Low
2021-09-24,33.5,24.6,1.2,Rice,114,Maturity,Medium
2021-09-25,32.8,24.5,12.2,Rice,115,Maturity,Low
2021-09-26,32.5,24.5,0.7,Rice,116,Maturity,Low
2021-09-27,33.8,25.6,0.2,Rice,117,Maturity,Medium
2021-09-28,34.2,25.0,0.1,Rice,118,Maturity,Medium
2021-09-29,34.5,24.1,0.1,Rice,119,Maturity,Medium
2021-09-30,32.0,24.8,11.8,Rice,120,Maturity,Low
2022-06-01,37.5,26.3,2.9,Rice,1,Vegetative,Medium
2022-06-02,37.3,26.4,0.0,Rice,2,Vegetative,High
2022-06-03,38.2,26.8,0.2,Rice,3,Vegetative,High
2022-06-04,38.7,26.6,0.6,Rice,4,Vegetative,High
2022-06-05,38.3,25.9,0.5,Rice,5,Vegetative,High
2022-06-06,32.7,23.6,11.7,Rice,6,Vegetative,Low
2022-06-07,34.5,24.9,0.8,Rice,7,Vegetative,Medium
2022-06-08,37.5,25.3,5.7,Rice,8,Vegetative,Low
2022-06-09,36.0,26.4,0.0,Rice,9,Vegetative,High
2022-06-10,35.7,26.7,0.1,Rice,10,Vegetative,High
2022-06-11,36.3,26.6,0.2,Rice,11,Vegetative,High
2022-06-12,36.5,26.0,1.4,Rice,12,Vegetative,High
2022-06-13,35.6,25.9,0.0,Rice,13,Vegetative,High
2022-06-14,35.7,24.6,5.8,Rice,14,Vegetative,Low
2022-06-15,33.9,24.4,1.5,Rice,15,Vegetative,Medium
2022-06-16,33.3,23.7,11.7,Rice,16,Vegetative,Low
2022-06-17,32.7,23.4,2.7,Rice,17,Vegetative,Low
2022-06-18,31.4,23.7,11.7,Rice,18,Vegetative,Low
2022-06-19,32.2,24.4,8.5,Rice,19,Vegetative,Low
2022-06-20,32.7,24.4,0.4,Rice,20,Vegetative,Low
2022-06-21,33.3,25.0,2.4,Rice,21,Vegetative,Medium
2022-06-22,32.5,24.2,2.2,Rice,22,Vegetative,Low
2022-06-23,33.3,24.4,0.7,Rice,23,Vegetative,Medium
2022-06-24,34.2,25.2,1.7,Rice,24,Vegetative,Medium
2022-06-25,34.2,26.0,0.4,Rice,25,Vegetative,Medium
2022-06-26,35.2,26.2,0.1,Rice,26,Vegetative,High
2022-06-27,34.5,25.8,0.1,Rice,27,Vegetative,Medium
2022-06-28,34.8,25.9,0.0,Rice,28,Vegetative,Medium
2022-06-29,35.2,26.1,2.0,Rice,29,Vegetative,Medium
2022-06-30,35.7,26.1,0.6,Rice,30,Flowering,High
2022-07-01,36.1,25.6,19.7,Rice,31,Flowering,Low
2022-07-02,35.5,24.9,0.9,Rice,32,Flowering,High
2022-07-03,35.8,26.9,0.5,Rice,33,Flowering,High
2022-07-04,32.0,26.5,0.8,Rice,34,Flowering,Low
2022-07-05,30.6,26.4,0.1,Rice,35,Flowering,Low
2022-07-06,31.1,24.4,0.8,Rice,36,Flowering,Low
2022-07-07,33.0,25.2,12.9,Rice,37,Flowering,Low
2022-07-08,32.5,25.6,0.1,Rice,38,Flowering,Low
2022-07-09,31.2,24.5,2.8,Rice,39,Flowering,Low
2022-07-10,33.2,24.6,1.9,Rice,40,Flowering,Medium
2022-07-11,32.0,24.5,0.9,Rice,41,Flowering,Low
2022-07-12,34.5,24.3,0.5,Rice,42,Flowering,Medium
2022-07-13,33.8,26.3,0.2,Rice,43,Flowering,Medium
2022-07-14,34.2,25.8,0.7,Rice,44,Flowering,Medium
2022-07-15,35.3,25.9,0.3,Rice,45,Flowering,High
2022-07-16,35.8,26.1,4.3,Rice,46,Flowering,Medium
2022-07-17,34.7,25.7,10.3,Rice,47,Flowering,Low
2022-07-18,33.6,24.9,11.2,Rice,48,Flowering,Low
2022-07-19,33.9,24.8,1.6,Rice,49,Flowering,Medium
2022-07-20,33.5,24.0,14.5,Rice,50,Flowering,Low
2022-07-21,32.8,23.8,23.3,Rice,51,Flowering,Low
2022-07-22,31.5,23.8,6.2,Rice,52,Flowering,Low
2022-07-23,32.2,23.8,7.5,Rice,53,Flowering,Low
2022-07-24,32.2,24.1,2.5,Rice,54,Flowering,Low
2022-07-25,33.2,24.3,1.3,Rice,55,Flowering,Medium
2022-07-26,31.0,23.6,3.0,Rice,56,Flowering,Low
2022-07-27,31.4,22.9,1.4,Rice,57,Flowering,Low
2022-07-28,31.9,23.9,6.0,Rice,58,Flowering,Low
2022-07-29,32.2,23.1,2.8,Rice,59,Flowering,Low
2022-07-30,32.9,23.6,7.1,Rice,60,Flowering,Low
2022-07-31,32.9,23.6,20.7,Rice,61,Flowering,Low
2022-08-01,33.2,23.6,15.0,Rice,61,Flowering,Low
2022-08-02,32.8,23.8,3.4,Rice,62,Flowering,Low
2022-08-03,27.9,23.5,10.3,Rice,63,Flowering,Low
2022-08-04,30.6,23.8,14.3,Rice,64,Flowering,Low
2022-08-05,29.1,23.8,2.3,Rice,65,Flowering,Low
2022-08-06,29.4,24.4,2.5,Rice,66,Flowering,Low
2022-08-07,31.9,25.1,0.2,Rice,67,Flowering,Low
2022-08-08,32.1,25.9,0.0,Rice,68,Flowering,Low
2022-08-09,33.0,25.9,0.2,Rice,69,Flowering,Low
2022-08-10,33.3,25.0,0.6,Rice,70,Flowering,Medium
2022-08-11,34.0,24.8,0.2,Rice,71,Flowering,Medium
2022-08-12,34.0,25.9,0.0,Rice,72,Flowering,Medium
2022-08-13,34.8,25.6,0.0,Rice,73,Flowering,Medium
2022-08-14,34.4,25.8,0.1,Rice,74,Flowering,Medium
2022-08-15,34.6,25.5,0.5,Rice,75,Maturity,Medium
2022-08-16,34.8,24.1,0.8,Rice,76,Maturity,Medium
2022-08-17,34.5,24.1,0.2,Rice,77,Maturity,Medium
2022-08-18,35.4,25.8,0.5,Rice,78,Maturity,High
2022-08-19,34.8,23.8,0.1,Rice,79,Maturity,Medium
2022-08-20,35.3,26.1,0.0,Rice,80,Maturity,High
2022-08-21,35.3,26.1,1.5,Rice,81,Maturity,High
2022-08-22,35.5,25.1,12.8,Rice,82,Maturity,Low
2022-08-23,35.4,25.0,0.0,Rice,83,Maturity,High
2022-08-24,33.5,24.1,17.6,Rice,84,Maturity,Low
2022-08-25,32.0,23.0,22.7,Rice,85,Maturity,Low
2022-08-26,32.1,23.1,24.6,Rice,86,Maturity,Low
2022-08-27,31.2,23.0,10.7,Rice,87,Maturity,Low
2022-08-28,32.2,23.3,9.1,Rice,88,Maturity,Low
2022-08-29,30.8,22.9,19.7,Rice,89,Maturity,Low
2022-08-30,30.5,22.3,7.5,Rice,90,Maturity,Low
2022-08-31,29.9,22.8,8.8,Rice,91,Maturity,Low
2022-09-01,29.4,22.2,10.0,Rice,91,Maturity,Low
2022-09-02,30.6,22.1,2.1,Rice,92,Maturity,Low
2022-09-03,32.2,22.9,2.7,Rice,93,Maturity,Low
2022-09-04,31.6,23.0,25.3,Rice,94,Maturity,Low
2022-09-05,32.5,23.0,7.9,Rice,95,Maturity,Low
2022-09-06,31.5,23.3,9.2,Rice,96,Maturity,Low
2022-09-07,31.1,23.6,10.2,Rice,97,Maturity,Low
2022-09-08,28.5,23.7,7.8,Rice,98,Maturity,Low
2022-09-09,31.8,23.6,11.9,Rice,99,Maturity,Low
2022-09-10,31.6,25.4,0.6,Rice,100,Maturity,Low
2022-09-11,31.0,25.1,0.0,Rice,101,Maturity,Low
2022-09-12,32.6,24.5,0.0,Rice,102,Maturity,Low
2022-09-13,33.2,23.9,0.1,Rice,103,Maturity,Medium
2022-09-14,32.9,23.7,1.3,Rice,104,Maturity,Low
2022-09-15,32.5,23.8,0.3,Rice,105,Maturity,Low
2022-09-16,33.3,24.8,0.0,Rice,106,Maturity,Medium
2022-09-17,33.5,24.4,0.0,Rice,107,Maturity,Medium
2022-09-18,33.9,25.3,0.0,Rice,108,Maturity,Medium
2022-09-19,33.8,25.4,0.5,Rice,109,Maturity,Medium
2022-09-20,34.2,24.6,0.0,Rice,110,Maturity,Medium
2022-09-21,34.2,24.8,0.0,Rice,111,Maturity,Medium
2022-09-22,34.8,24.4,0.0,Rice,112,Maturity,Medium
2022-09-23,35.1,24.1,0.0,Rice,113,Maturity,High
2022-09-24,34.3,25.2,0.3,Rice,114,Maturity,Medium
2022-09-25,33.8,24.2,0.6,Rice,115,Maturity,Medium
2022-09-26,31.6,24.0,6.2,Rice,116,Maturity,Low
2022-09-27,32.7,24.1,2.2,Rice,117,Maturity,Low
2022-09-28,32.8,23.9,8.5,Rice,118,Maturity,Low
2022-09-29,32.5,23.4,4.7,Rice,119,Maturity,Low
2022-09-30,31.1,23.8,7.6,Rice,120,Maturity,Low
2023-06-01,38.5,26.3,0.0,Rice,1,Vegetative,High
2023-06-02,39.0,28.2,0.9,Rice,2,Vegetative,High
2023-06-03,40.2,28.5,0.0,Rice,3,Vegetative,High
2023-06-04,37.8,28.8,0.0,Rice,4,Vegetative,High
2023-06-05,39.0,28.2,0.9,Rice,5,Vegetative,High
2023-06-06,39.4,27.7,0.0,Rice,6,Vegetative,High
2023-06-07,35.4,26.8,7.8,Rice,7,Vegetative,Low
2023-06-08,39.8,28.2,1.1,Rice,8,Vegetative,High
2023-06-09,39.6,26.4,14.9,Rice,9,Vegetative,Low
2023-06-10,37.1,27.4,0.2,Rice,10,Vegetative,High
2023-06-11,36.8,26.2,3.7,Rice,11,Vegetative,Medium
2023-06-12,36.2,27.1,0.4,Rice,12,Vegetative,High
2023-06-13,38.0,27.2,2.8,Rice,13,Vegetative,Medium
2023-06-14,37.8,27.4,0.1,Rice,14,Vegetative,High
2023-06-15,38.7,27.9,0.0,Rice,15,Vegetative,High
2023-06-16,38.2,28.7,0.0,Rice,16,Vegetative,High
2023-06-17,38.5,27.5,0.1,Rice,17,Vegetative,High
2023-06-18,35.6,27.8,3.8,Rice,18,Vegetative,Medium
2023-06-19,28.9,24.8,26.4,Rice,19,Vegetative,Low
2023-06-20,34.0,24.4,16.0,Rice,20,Vegetative,Low
2023-06-21,33.8,24.4,4.4,Rice,21,Vegetative,Medium
2023-06-22,33.8,26.0,4.3,Rice,22,Vegetative,Medium
2023-06-23,34.4,25.4,3.3,Rice,23,Vegetative,Medium
2023-06-24,34.7,26.5,0.4,Rice,24,Vegetative,Medium
2023-06-25,34.5,26.1,0.0,Rice,25,Vegetative,Medium
2023-06-26,34.9,26.0,0.5,Rice,26,Vegetative,Medium
2023-06-27,34.9,26.5,0.4,Rice,27,Vegetative,Medium
2023-06-28,36.2,25.9,3.9,Rice,28,Vegetative,Medium
2023-06-29,35.6,27.0,4.6,Rice,29,Vegetative,Medium
2023-06-30,37.1,26.6,0.5,Rice,30,Flowering,High
2023-07-01,34.5,27.0,3.8,Rice,31,Flowering,Medium
2023-07-02,35.5,26.8,1.4,Rice,32,Flowering,High
2023-07-03,34.8,24.8,3.3,Rice,33,Flowering,Medium
2023-07-04,35.0,26.0,12.2,Rice,34,Flowering,Low
2023-07-05,32.1,25.5,0.1,Rice,35,Flowering,Low
2023-07-06,30.1,25.6,1.8,Rice,36,Flowering,Low
2023-07-07,32.7,26.3,0.0,Rice,37,Flowering,Low
2023-07-08,34.0,26.7,6.2,Rice,38,Flowering,Low
2023-07-09,35.9,26.1,1.2,Rice,39,Flowering,High
2023-07-10,31.5,25.7,3.8,Rice,40,Flowering,Low
2023-07-11,30.4,24.4,3.0,Rice,41,Flowering,Low
2023-07-12,33.8,25.6,5.4,Rice,42,Flowering,Low
2023-07-13,33.8,24.6,0.4,Rice,43,Flowering,Medium
2023-07-14,34.9,25.6,1.0,Rice,44,Flowering,Medium
2023-07-15,36.2,26.4,1.0,Rice,45,Flowering,High
2023-07-16,35.4,27.1,0.3,Rice,46,Flowering,High
2023-07-17,36.4,26.6,0.0,Rice,47,Flowering,High
2023-07-18,36.2,27.1,0.0,Rice,48,Flowering,High
2023-07-19,35.8,27.1,0.0,Rice,49,Flowering,High
2023-07-20,36.4,26.9,0.1,Rice,50,Flowering,High
2023-07-21,35.8,27.4,0.0,Rice,51,Flowering,High
2023-07-22,33.3,26.0,5.0,Rice,52,Flowering,Low
2023-07-23,33.7,24.4,7.8,Rice,53,Flowering,Low
2023-07-24,31.8,24.0,5.0,Rice,54,Flowering,Low
2023-07-25,28.9,23.8,11.5,Rice,55,Flowering,Low
2023-07-26,28.4,23.4,5.7,Rice,56,Flowering,Low
2023-07-27,34.1,24.3,0.6,Rice,57,Flowering,Medium
2023-07-28,35.4,25.5,0.0,Rice,58,Flowering,High
2023-07-29,35.7,26.0,0.1,Rice,59,Flowering,High
2023-07-30,36.8,26.4,0.2,Rice,60,Flowering,High
2023-07-31,36.7,26.5,0.1,Rice,61,Flowering,High
2023-08-01,36.2,26.3,0.1,Rice,61,Flowering,High
2023-08-02,36.6,26.0,0.0,Rice,62,Flowering,High
2023-08-03,37.2,26.0,0.0,Rice,63,Flowering,High
2023-08-04,37.8,26.2,0.7,Rice,64,Flowering,High
2023-08-05,37.2,24.1,8.7,Rice,65,Flowering,Low
2023-08-06,36.6,25.2,0.2,Rice,66,Flowering,High
2023-08-07,37.5,26.1,0.0,Rice,67,Flowering,High
2023-08-08,37.2,27.0,0.1,Rice,68,Flowering,High
2023-08-09,35.3,26.2,0.4,Rice,69,Flowering,High
2023-08-10,36.4,24.5,11.5,Rice,70,Flowering,Low
2023-08-11,32.2,24.5,9.7,Rice,71,Flowering,Low
2023-08-12,36.2,24.0,0.3,Rice,72,Flowering,High
2023-08-13,35.8,24.7,0.4,Rice,73,Flowering,High
2023-08-14,35.3,24.0,3.3,Rice,74,Flowering,Medium
2023-08-15,35.5,24.7,0.2,Rice,75,Maturity,High
2023-08-16,36.3,25.7,0.2,Rice,76,Maturity,High
2023-08-17,37.0,26.1,0.1,Rice,77,Maturity,High
2023-08-18,36.8,27.3,0.2,Rice,78,Maturity,High
2023-08-19,36.5,26.7,0.3,Rice,79,Maturity,High
2023-08-20,36.9,26.6,0.0,Rice,80,Maturity,High
2023-08-21,36.8,27.1,0.2,Rice,81,Maturity,High
2023-08-22,35.5,26.3,2.1,Rice,82,Maturity,Medium
2023-08-23,36.2,24.5,2.4,Rice,83,Maturity,Medium
2023-08-24,36.3,25.5,0.2,Rice,84,Maturity,High
2023-08-25,37.2,25.1,0.1,Rice,85,Maturity,High
2023-08-26,36.8,24.1,15.0,Rice,86,Maturity,Low
2023-08-27,35.5,24.5,1.8,Rice,87,Maturity,High
2023-08-28,36.8,26.1,0.0,Rice,88,Maturity,High
2023-08-29,36.8,24.6,6.5,Rice,89,Maturity,Low
2023-08-30,37.2,24.5,19.6,Rice,90,Maturity,Low
2023-08-31,35.3,23.8,26.6,Rice,91,Maturity,Low
2023-09-01,34.0,24.1,18.6,Rice,91,Maturity,Low
2023-09-02,34.3,24.6,18.2,Rice,92,Maturity,Low
2023-09-03,33.7,24.6,0.9,Rice,93,Maturity,Medium
2023-09-04,31.0,25.1,1.5,Rice,94,Maturity,Low
2023-09-05,31.7,25.2,0.0,Rice,95,Maturity,Low
2023-09-06,32.9,25.9,0.6,Rice,96,Maturity,Low
2023-09-07,33.9,26.4,1.1,Rice,97,Maturity,Medium
2023-09-08,34.3,26.3,0.0,Rice,98,Maturity,Medium
2023-09-09,35.4,26.0,0.9,Rice,99,Maturity,High
2023-09-10,33.8,26.4,0.0,Rice,100,Maturity,Medium
2023-09-11,35.2,26.5,0.0,Rice,101,Maturity,High
2023-09-12,35.5,26.9,0.2,Rice,102,Maturity,High
2023-09-13,36.2,26.3,0.3,Rice,103,Maturity,High
2023-09-14,36.8,24.9,12.6,Rice,104,Maturity,Low
2023-09-15,35.2,25.5,2.1,Rice,105,Maturity,Medium
2023-09-16,35.0,24.9,14.3,Rice,106,Maturity,Low
2023-09-17,33.8,24.4,11.2,Rice,107,Maturity,Low
2023-09-18,34.2,24.4,12.2,Rice,108,Maturity,Low
2023-09-19,34.8,24.1,0.1,Rice,109,Maturity,Medium
2023-09-20,34.5,25.3,0.0,Rice,110,Maturity,Medium
2023-09-21,33.0,24.5,0.2,Rice,111,Maturity,Low
2023-09-22,33.8,24.5,12.8,Rice,112,Maturity,Low
2023-09-23,34.0,24.1,28.2,Rice,113,Maturity,Low
2023-09-24,33.6,23.5,10.0,Rice,114,Maturity,Low
2023-09-25,32.9,23.8,7.5,Rice,115,Maturity,Low
2023-09-26,32.8,23.8,24.4,Rice,116,Maturity,Low
2023-09-27,32.5,23.9,14.6,Rice,117,Maturity,Low
2023-09-28,31.9,23.9,5.1,Rice,118,Maturity,Low
2023-09-29,32.0,24.8,10.5,Rice,119,Maturity,Low
2023-09-30,33.0,24.0,1.8,Rice,120,Maturity,Low
2021-11-01,25.9,22.4,14.7,Wheat,1,Vegetative,Low
2021-11-02,24.6,21.7,15.6,Wheat,2,Vegetative,Low
2021-11-03,26.7,22.0,9.2,Wheat,3,Vegetative,Low
2021-11-04,27.5,22.5,7.7,Wheat,4,Vegetative,Low
2021-11-05,27.1,22.0,32.1,Wheat,5,Vegetative,Low
2021-11-06,28.3,21.6,15.0,Wheat,6,Vegetative,Low
2021-11-07,23.8,22.0,33.9,Wheat,7,Vegetative,Low
2021-11-08,25.5,21.8,16.2,Wheat,8,Vegetative,Low
2021-11-09,27.8,21.6,8.8,Wheat,9,Vegetative,Low
2021-11-10,24.3,21.2,25.4,Wheat,10,Vegetative,Low
2021-11-11,22.8,21.2,52.3,Wheat,11,Vegetative,Low
2021-11-12,27.0,20.9,7.4,Wheat,12,Vegetative,Low
2021-11-13,28.4,22.3,13.7,Wheat,13,Vegetative,Low
2021-11-14,27.4,22.1,9.6,Wheat,14,Vegetative,Low
2021-11-15,27.0,22.5,15.6,Wheat,15,Vegetative,Low
2021-11-16,29.2,22.3,16.1,Wheat,16,Vegetative,Low
2021-11-17,28.5,21.9,18.6,Wheat,17,Vegetative,Low
2021-11-18,24.0,22.4,85.0,Wheat,18,Vegetative,Low
2021-11-19,26.0,22.4,14.7,Wheat,19,Vegetative,Low
2021-11-20,28.3,22.4,34.8,Wheat,20,Vegetative,Low
2021-11-21,29.4,21.8,3.9,Wheat,21,Vegetative,Low
2021-11-22,28.5,22.1,5.6,Wheat,22,Vegetative,Low
2021-11-23,29.5,22.2,0.9,Wheat,23,Vegetative,Low
2021-11-24,28.9,21.3,0.8,Wheat,24,Vegetative,Low
2021-11-25,26.9,22.0,10.8,Wheat,25,Vegetative,Low
2021-11-26,26.4,22.6,8.8,Wheat,26,Vegetative,Low
2021-11-27,25.6,22.3,18.5,Wheat,27,Vegetative,Low
2021-11-28,26.0,21.8,21.6,Wheat,28,Vegetative,Low
2021-11-29,26.4,21.0,24.9,Wheat,29,Vegetative,Low
2021-11-30,26.8,21.5,16.5,Wheat,30,Flowering,Low
2021-12-01,27.6,21.4,3.4,Wheat,31,Flowering,Low
2021-12-02,27.9,21.4,0.3,Wheat,32,Flowering,Low
2021-12-03,28.4,20.0,0.0,Wheat,33,Flowering,Low
2021-12-04,29.6,20.0,0.0,Wheat,34,Flowering,Low
2021-12-05,30.1,21.6,0.0,Wheat,35,Flowering,High
2021-12-06,29.0,21.8,7.9,Wheat,36,Flowering,Low
2021-12-07,29.8,21.0,0.0,Wheat,37,Flowering,Low
2021-12-08,28.6,21.6,2.5,Wheat,38,Flowering,Low
2021-12-09,27.9,21.6,2.8,Wheat,39,Flowering,Low
2021-12-10,28.8,20.6,1.5,Wheat,40,Flowering,Low
2021-12-11,27.2,21.9,3.7,Wheat,41,Flowering,Low
2021-12-12,27.0,21.5,4.2,Wheat,42,Flowering,Low
2021-12-13,27.6,21.2,6.6,Wheat,43,Flowering,Low
2021-12-14,27.3,20.8,1.0,Wheat,44,Flowering,Low
2021-12-15,27.2,20.5,0.5,Wheat,45,Flowering,Low
2021-12-16,27.8,19.8,0.0,Wheat,46,Flowering,Low
2021-12-17,27.5,18.6,0.0,Wheat,47,Flowering,Low
2021-12-18,27.6,17.5,0.0,Wheat,48,Flowering,Low
2021-12-19,26.6,16.8,0.0,Wheat,49,Flowering,Low
2021-12-20,27.5,17.2,0.0,Wheat,50,Flowering,Low
